id,gene,gene_link,full_name,diseases,diseases_link,no_of_snps
21,ABCG8,https://www.snpedia.com/index.php/ABCG8,"ATP-binding cassette, sub-family G (WHITE), member 8",ABCG8,http://diseases.jensenlab.org/Search?query=ABCG8,23
22,ABL1,https://www.snpedia.com/index.php/ABL1,"c-abl oncogene 1, non-receptor tyrosine kinase",ABL1,http://diseases.jensenlab.org/Search?query=ABL1,28
23,ABO,https://www.snpedia.com/index.php/ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",ABO,http://diseases.jensenlab.org/Search?query=ABO,37
24,ABP1,https://www.snpedia.com/index.php/ABP1,amiloride binding protein 1 (amine oxidase (copper-containing)),ABP1,http://diseases.jensenlab.org/Search?query=ABP1,0
25,ACADM,https://www.snpedia.com/index.php/ACADM,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain",ACADM,http://diseases.jensenlab.org/Search?query=ACADM,103
26,ACADVL,https://www.snpedia.com/index.php/ACADVL,null,ACADVL,http://diseases.jensenlab.org/Search?query=ACADVL,98
27,ACAT1,https://www.snpedia.com/index.php/ACAT1,acetyl-CoA acetyltransferase 1,ACAT1,http://diseases.jensenlab.org/Search?query=ACAT1,28
28,ACE,https://www.snpedia.com/index.php/ACE,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,ACE,http://diseases.jensenlab.org/Search?query=ACE,31
29,ACKR1,https://www.snpedia.com/index.php/ACKR1,atypical chemokine receptor 1 (Duffy blood group),ACKR1,http://diseases.jensenlab.org/Search?query=ACKR1,7
30,ACSF3,https://www.snpedia.com/index.php/ACSF3,acyl-CoA synthetase family member 3,ACSF3,http://diseases.jensenlab.org/Search?query=ACSF3,17
31,ACTA1,https://www.snpedia.com/index.php/ACTA1,"actin, alpha 1, skeletal muscle",ACTA1,http://diseases.jensenlab.org/Search?query=ACTA1,44
32,ACTA2,https://www.snpedia.com/index.php/ACTA2,"actin, alpha 2, smooth muscle, aorta",ACTA2,http://diseases.jensenlab.org/Search?query=ACTA2,30
33,ACTC1,https://www.snpedia.com/index.php/ACTC1,"actin, alpha, cardiac muscle 1",ACTC1,http://diseases.jensenlab.org/Search?query=ACTC1,40
34,ACTG1,https://www.snpedia.com/index.php/ACTG1,"actin, gamma 1",ACTG1,http://diseases.jensenlab.org/Search?query=ACTG1,21
35,ACTN1,https://www.snpedia.com/index.php/ACTN1,"actinin, alpha 1",ACTN1,http://diseases.jensenlab.org/Search?query=ACTN1,13
36,ACTN3,https://www.snpedia.com/index.php/ACTN3,"actinin, alpha 3 (gene/pseudogene)",ACTN3,http://diseases.jensenlab.org/Search?query=ACTN3,2
37,ACTN4,https://www.snpedia.com/index.php/ACTN4,"actinin, alpha 4",ACTN4,http://diseases.jensenlab.org/Search?query=ACTN4,10
38,ACVR1,https://www.snpedia.com/index.php/ACVR1,"activin A receptor, type I",ACVR1,http://diseases.jensenlab.org/Search?query=ACVR1,13
39,ACVR1B,https://www.snpedia.com/index.php/ACVR1B,"activin A receptor, type IB",ACVR1B,http://diseases.jensenlab.org/Search?query=ACVR1B,5
40,ACVRL1,https://www.snpedia.com/index.php/ACVRL1,activin A receptor type II-like 1,ACVRL1,http://diseases.jensenlab.org/Search?query=ACVRL1,85
41,ADA,https://www.snpedia.com/index.php/ADA,adenosine deaminase,ADA,http://diseases.jensenlab.org/Search?query=ADA,43
42,ADAD1,https://www.snpedia.com/index.php/ADAD1,adenosine deaminase domain containing 1,ADAD1,http://diseases.jensenlab.org/Search?query=ADAD1,2
43,ADAM10,https://www.snpedia.com/index.php/ADAM10,ADAM metallopeptidase domain 10,ADAM10,http://diseases.jensenlab.org/Search?query=ADAM10,14
44,ADAM19,https://www.snpedia.com/index.php/ADAM19,ADAM metallopeptidase domain 19,ADAM19,http://diseases.jensenlab.org/Search?query=ADAM19,11
45,ADAM33,https://www.snpedia.com/index.php/ADAM33,null,ADAM33,http://diseases.jensenlab.org/Search?query=ADAM33,22
46,ADAMTS1,https://www.snpedia.com/index.php/ADAMTS1,"ADAM metallopeptidase with thrombospondin type 1 motif, 1",ADAMTS1,http://diseases.jensenlab.org/Search?query=ADAMTS1,2
47,ADAMTS12,https://www.snpedia.com/index.php/ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12,ADAMTS12,http://diseases.jensenlab.org/Search?query=ADAMTS12,4
48,ADAMTS13,https://www.snpedia.com/index.php/ADAMTS13,"ADAM metallopeptidase with thrombospondin type 1 motif, 13",ADAMTS13,http://diseases.jensenlab.org/Search?query=ADAMTS13,34
49,ADAMTS2,https://www.snpedia.com/index.php/ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,ADAMTS2,http://diseases.jensenlab.org/Search?query=ADAMTS2,7
50,ADAMTSL3,https://www.snpedia.com/index.php/ADAMTSL3,ADAMTS-like 3,ADAMTSL3,http://diseases.jensenlab.org/Search?query=ADAMTSL3,7
51,ADAMTSL4,https://www.snpedia.com/index.php/ADAMTSL4,ADAMTS-like 4,ADAMTSL4,http://diseases.jensenlab.org/Search?query=ADAMTSL4,10
52,ADC,https://www.snpedia.com/index.php/ADC,arginine decarboxylase,ADC,http://diseases.jensenlab.org/Search?query=ADC,1
53,ADCK4,https://www.snpedia.com/index.php/ADCK4,aarF domain containing kinase 4,ADCK4,http://diseases.jensenlab.org/Search?query=ADCK4,12
54,ADCY2,https://www.snpedia.com/index.php/ADCY2,adenylate cyclase 2 (brain),ADCY2,http://diseases.jensenlab.org/Search?query=ADCY2,11
55,ADCY3,https://www.snpedia.com/index.php/ADCY3,null,ADCY3,http://diseases.jensenlab.org/Search?query=ADCY3,13
56,ADCY5,https://www.snpedia.com/index.php/ADCY5,adenylate cyclase 5,ADCY5,http://diseases.jensenlab.org/Search?query=ADCY5,13
57,ADH1B,https://www.snpedia.com/index.php/ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",ADH1B,http://diseases.jensenlab.org/Search?query=ADH1B,9
58,ADH1C,https://www.snpedia.com/index.php/ADH1C,null,ADH1C,http://diseases.jensenlab.org/Search?query=ADH1C,7
59,ADH4,https://www.snpedia.com/index.php/ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",ADH4,http://diseases.jensenlab.org/Search?query=ADH4,8
60,ADIPOQ,https://www.snpedia.com/index.php/ADIPOQ,"adiponectin, C1Q and collagen domain containing",ADIPOQ,http://diseases.jensenlab.org/Search?query=ADIPOQ,32
61,ADIPOR2,https://www.snpedia.com/index.php/ADIPOR2,adiponectin receptor 2,ADIPOR2,http://diseases.jensenlab.org/Search?query=ADIPOR2,9
62,ADK,https://www.snpedia.com/index.php/ADK,null,ADK,http://diseases.jensenlab.org/Search?query=ADK,5
63,ADORA2A,https://www.snpedia.com/index.php/ADORA2A,adenosine A2a receptor,ADORA2A,http://diseases.jensenlab.org/Search?query=ADORA2A,11
64,ADRA1A,https://www.snpedia.com/index.php/ADRA1A,"adrenergic, alpha-1A-, receptor",ADRA1A,http://diseases.jensenlab.org/Search?query=ADRA1A,12
65,ADRA1B,https://www.snpedia.com/index.php/ADRA1B,"adrenergic, alpha-1B-, receptor",ADRA1B,http://diseases.jensenlab.org/Search?query=ADRA1B,8
66,ADRA1D,https://www.snpedia.com/index.php/ADRA1D,"adrenergic, alpha-1D-, receptor",ADRA1D,http://diseases.jensenlab.org/Search?query=ADRA1D,2
67,ADRA2A,https://www.snpedia.com/index.php/ADRA2A,"adrenergic, alpha-2A-, receptor",ADRA2A,http://diseases.jensenlab.org/Search?query=ADRA2A,5
68,ADRA2B,https://www.snpedia.com/index.php/ADRA2B,"adrenergic, alpha-2B-, receptor",ADRA2B,http://diseases.jensenlab.org/Search?query=ADRA2B,6
69,ADRA2C,https://www.snpedia.com/index.php/ADRA2C,"adrenergic, alpha-2C-, receptor",ADRA2C,http://diseases.jensenlab.org/Search?query=ADRA2C,1
70,ADRB1,https://www.snpedia.com/index.php/ADRB1,"adrenergic, beta-1-, receptor",ADRB1,http://diseases.jensenlab.org/Search?query=ADRB1,2
71,ADRB2,https://www.snpedia.com/index.php/ADRB2,"adrenergic, beta-2-, receptor, surface",ADRB2,http://diseases.jensenlab.org/Search?query=ADRB2,18
72,ADRB3,https://www.snpedia.com/index.php/ADRB3,"adrenergic, beta-3-, receptor",ADRB3,http://diseases.jensenlab.org/Search?query=ADRB3,1
73,AFF3,https://www.snpedia.com/index.php/AFF3,"AF4/FMR2 family, member 3",AFF3,http://diseases.jensenlab.org/Search?query=AFF3,3
74,AFG3L2,https://www.snpedia.com/index.php/AFG3L2,null,AFG3L2,http://diseases.jensenlab.org/Search?query=AFG3L2,25
75,AGAP2,https://www.snpedia.com/index.php/AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",AGAP2,http://diseases.jensenlab.org/Search?query=AGAP2,1
76,AGBL1,https://www.snpedia.com/index.php/AGBL1,ATP/GTP binding protein-like 1,AGBL1,http://diseases.jensenlab.org/Search?query=AGBL1,10
77,AGPS,https://www.snpedia.com/index.php/AGPS,null,AGPS,http://diseases.jensenlab.org/Search?query=AGPS,4
78,AGT,https://www.snpedia.com/index.php/AGT,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",AGT,http://diseases.jensenlab.org/Search?query=AGT,25
79,AGTR1,https://www.snpedia.com/index.php/AGTR1,null,AGTR1,http://diseases.jensenlab.org/Search?query=AGTR1,25
80,AGXT,https://www.snpedia.com/index.php/AGXT,alanine-glyoxylate aminotransferase,AGXT,http://diseases.jensenlab.org/Search?query=AGXT,178
81,AHCY,https://www.snpedia.com/index.php/AHCY,adenosylhomocysteinase,AHCY,http://diseases.jensenlab.org/Search?query=AHCY,9
82,AHSG,https://www.snpedia.com/index.php/AHSG,alpha-2-HS-glycoprotein,AHSG,http://diseases.jensenlab.org/Search?query=AHSG,12
83,AIP,https://www.snpedia.com/index.php/AIP,null,AIP,http://diseases.jensenlab.org/Search?query=AIP,55
84,AIPL1,https://www.snpedia.com/index.php/AIPL1,null,AIPL1,http://diseases.jensenlab.org/Search?query=AIPL1,11
85,AJAP1,https://www.snpedia.com/index.php/AJAP1,null,AJAP1,http://diseases.jensenlab.org/Search?query=AJAP1,0
86,AJUBA,https://www.snpedia.com/index.php/AJUBA,null,AJUBA,http://diseases.jensenlab.org/Search?query=AJUBA,0
87,AK7,https://www.snpedia.com/index.php/AK7,null,AK7,http://diseases.jensenlab.org/Search?query=AK7,0
88,AKAP4,https://www.snpedia.com/index.php/AKAP4,null,AKAP4,http://diseases.jensenlab.org/Search?query=AKAP4,1
89,AKR1D1,https://www.snpedia.com/index.php/AKR1D1,"aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)",AKR1D1,http://diseases.jensenlab.org/Search?query=AKR1D1,7
90,AKT1,https://www.snpedia.com/index.php/AKT1,null,AKT1,http://diseases.jensenlab.org/Search?query=AKT1,22
91,ALAD,https://www.snpedia.com/index.php/ALAD,aminolevulinate dehydratase,ALAD,http://diseases.jensenlab.org/Search?query=ALAD,11
92,ALB,https://www.snpedia.com/index.php/ALB,albumin,ALB,http://diseases.jensenlab.org/Search?query=ALB,56
93,ALDH16A1,https://www.snpedia.com/index.php/ALDH16A1,"aldehyde dehydrogenase 16 family, member A1",ALDH16A1,http://diseases.jensenlab.org/Search?query=ALDH16A1,1
94,ALDH1A3,https://www.snpedia.com/index.php/ALDH1A3,null,ALDH1A3,http://diseases.jensenlab.org/Search?query=ALDH1A3,7
95,ALDH2,https://www.snpedia.com/index.php/ALDH2,aldehyde dehydrogenase 2 family (mitochondrial),ALDH2,http://diseases.jensenlab.org/Search?query=ALDH2,8
96,ALDH3A2,https://www.snpedia.com/index.php/ALDH3A2,"aldehyde dehydrogenase 3 family, member A2",ALDH3A2,http://diseases.jensenlab.org/Search?query=ALDH3A2,45
97,ALDH4A1,https://www.snpedia.com/index.php/ALDH4A1,"aldehyde dehydrogenase 4 family, member A1",ALDH4A1,http://diseases.jensenlab.org/Search?query=ALDH4A1,4
98,ALDH5A1,https://www.snpedia.com/index.php/ALDH5A1,"aldehyde dehydrogenase 5 family, member A1",ALDH5A1,http://diseases.jensenlab.org/Search?query=ALDH5A1,9
99,ALDH7A1,https://www.snpedia.com/index.php/ALDH7A1,null,ALDH7A1,http://diseases.jensenlab.org/Search?query=ALDH7A1,42
100,ALDOA,https://www.snpedia.com/index.php/ALDOA,"aldolase A, fructose-bisphosphate",ALDOA,http://diseases.jensenlab.org/Search?query=ALDOA,2
101,ALDOB,https://www.snpedia.com/index.php/ALDOB,"aldolase B, fructose-bisphosphate",ALDOB,http://diseases.jensenlab.org/Search?query=ALDOB,32
102,ALDOC,https://www.snpedia.com/index.php/ALDOC,"aldolase C, fructose-bisphosphate",ALDOC,http://diseases.jensenlab.org/Search?query=ALDOC,0
103,ALG13,https://www.snpedia.com/index.php/ALG13,null,ALG13,http://diseases.jensenlab.org/Search?query=ALG13,4
104,ALOX5AP,https://www.snpedia.com/index.php/ALOX5AP,arachidonate 5-lipoxygenase-activating protein,ALOX5AP,http://diseases.jensenlab.org/Search?query=ALOX5AP,19
105,ALPK3,https://www.snpedia.com/index.php/ALPK3,alpha kinase 3,ALPK3,http://diseases.jensenlab.org/Search?query=ALPK3,5
106,ALPL,https://www.snpedia.com/index.php/ALPL,"alkaline phosphatase, liver/bone/kidney",ALPL,http://diseases.jensenlab.org/Search?query=ALPL,148
107,ALS2,https://www.snpedia.com/index.php/ALS2,"ALS2, alsin Rho guanine nucleotide exchange factor",ALS2,http://diseases.jensenlab.org/Search?query=ALS2,35
108,AMELY,https://www.snpedia.com/index.php/AMELY,null,AMELY,http://diseases.jensenlab.org/Search?query=AMELY,5
109,AMPD1,https://www.snpedia.com/index.php/AMPD1,adenosine monophosphate deaminase 1,AMPD1,http://diseases.jensenlab.org/Search?query=AMPD1,9
110,ANG,https://www.snpedia.com/index.php/ANG,"angiogenin, ribonuclease, RNase A family, 5",ANG,http://diseases.jensenlab.org/Search?query=ANG,12
111,ANGPTL3,https://www.snpedia.com/index.php/ANGPTL3,null,ANGPTL3,http://diseases.jensenlab.org/Search?query=ANGPTL3,10
112,ANK2,https://www.snpedia.com/index.php/ANK2,"ankyrin 2, neuronal",ANK2,http://diseases.jensenlab.org/Search?query=ANK2,35
113,ANK3,https://www.snpedia.com/index.php/ANK3,"ankyrin 3, node of Ranvier (ankyrin G)",ANK3,http://diseases.jensenlab.org/Search?query=ANK3,23
114,ANKK1,https://www.snpedia.com/index.php/ANKK1,ankyrin repeat and kinase domain containing 1,ANKK1,http://diseases.jensenlab.org/Search?query=ANKK1,5
115,ANKRD11,https://www.snpedia.com/index.php/ANKRD11,ankyrin repeat domain 11,ANKRD11,http://diseases.jensenlab.org/Search?query=ANKRD11,53
116,ANKRD36P1,https://www.snpedia.com/index.php/ANKRD36P1,null,ANKRD36P1,http://diseases.jensenlab.org/Search?query=ANKRD36P1,0
117,ANLN,https://www.snpedia.com/index.php/ANLN,"anillin, actin binding protein",ANLN,http://diseases.jensenlab.org/Search?query=ANLN,1
118,ANO5,https://www.snpedia.com/index.php/ANO5,anoctamin 5,ANO5,http://diseases.jensenlab.org/Search?query=ANO5,48
119,ANXA11,https://www.snpedia.com/index.php/ANXA11,annexin A11,ANXA11,http://diseases.jensenlab.org/Search?query=ANXA11,10
120,ANXA5,https://www.snpedia.com/index.php/ANXA5,annexin A5,ANXA5,http://diseases.jensenlab.org/Search?query=ANXA5,7
121,AOC1,https://www.snpedia.com/index.php/AOC1,"amine oxidase, copper containing 1",AOC1,http://diseases.jensenlab.org/Search?query=AOC1,12
122,AP1S1,https://www.snpedia.com/index.php/AP1S1,null,AP1S1,http://diseases.jensenlab.org/Search?query=AP1S1,0
123,AP3B1,https://www.snpedia.com/index.php/AP3B1,adaptor related protein complex 3 beta 1 subunit,AP3B1,http://diseases.jensenlab.org/Search?query=AP3B1,10
124,AP3B2,https://www.snpedia.com/index.php/AP3B2,null,AP3B2,http://diseases.jensenlab.org/Search?query=AP3B2,6
125,AP3M1,https://www.snpedia.com/index.php/AP3M1,null,AP3M1,http://diseases.jensenlab.org/Search?query=AP3M1,1
126,AP4E1,https://www.snpedia.com/index.php/AP4E1,adaptor related protein complex 4 epsilon 1 subunit,AP4E1,http://diseases.jensenlab.org/Search?query=AP4E1,2
127,APC,https://www.snpedia.com/index.php/APC,adenomatous polyposis coli,APC,http://diseases.jensenlab.org/Search?query=APC,380
128,APEX1,https://www.snpedia.com/index.php/APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1,APEX1,http://diseases.jensenlab.org/Search?query=APEX1,8
129,APEX2,https://www.snpedia.com/index.php/APEX2,APEX nuclease (apurinic/apyrimidinic endonuclease) 2,APEX2,http://diseases.jensenlab.org/Search?query=APEX2,0
130,APLP2,https://www.snpedia.com/index.php/APLP2,null,APLP2,http://diseases.jensenlab.org/Search?query=APLP2,1
131,APOA2,https://www.snpedia.com/index.php/APOA2,apolipoprotein A-II,APOA2,http://diseases.jensenlab.org/Search?query=APOA2,4
132,APOA5,https://www.snpedia.com/index.php/APOA5,apolipoprotein A-V,APOA5,http://diseases.jensenlab.org/Search?query=APOA5,14
133,APOB,https://www.snpedia.com/index.php/APOB,apolipoprotein B (including Ag(x) antigen),APOB,http://diseases.jensenlab.org/Search?query=APOB,46
134,APOC2,https://www.snpedia.com/index.php/APOC2,apolipoprotein C-II,APOC2,http://diseases.jensenlab.org/Search?query=APOC2,9
135,APOC3,https://www.snpedia.com/index.php/APOC3,apolipoprotein C-III,APOC3,http://diseases.jensenlab.org/Search?query=APOC3,11
136,APOE,https://www.snpedia.com/index.php/APOE,apolipoprotein E,APOE,http://diseases.jensenlab.org/Search?query=APOE,44
137,APOL1,https://www.snpedia.com/index.php/APOL1,null,APOL1,http://diseases.jensenlab.org/Search?query=APOL1,9
138,APOM,https://www.snpedia.com/index.php/APOM,apolipoprotein M,APOM,http://diseases.jensenlab.org/Search?query=APOM,23
139,APP,https://www.snpedia.com/index.php/APP,amyloid beta (A4) precursor protein,APP,http://diseases.jensenlab.org/Search?query=APP,30
140,APPL2,https://www.snpedia.com/index.php/APPL2,"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2",APPL2,http://diseases.jensenlab.org/Search?query=APPL2,2
141,AQP1,https://www.snpedia.com/index.php/AQP1,aquaporin 1 (Colton blood group),AQP1,http://diseases.jensenlab.org/Search?query=AQP1,4
142,AQP4,https://www.snpedia.com/index.php/AQP4,aquaporin 4,AQP4,http://diseases.jensenlab.org/Search?query=AQP4,6
143,AR,https://www.snpedia.com/index.php/AR,androgen receptor,AR,http://diseases.jensenlab.org/Search?query=AR,81
144,ARAP1,https://www.snpedia.com/index.php/ARAP1,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1",ARAP1,http://diseases.jensenlab.org/Search?query=ARAP1,3
145,ARC,https://www.snpedia.com/index.php/ARC,null,ARC,http://diseases.jensenlab.org/Search?query=ARC,2
146,ARG1,https://www.snpedia.com/index.php/ARG1,"arginase, liver",ARG1,http://diseases.jensenlab.org/Search?query=ARG1,14
147,ARHGAP11B,https://www.snpedia.com/index.php/ARHGAP11B,Rho GTPase activating protein 11B,ARHGAP11B,http://diseases.jensenlab.org/Search?query=ARHGAP11B,0
148,ARHGAP24,https://www.snpedia.com/index.php/ARHGAP24,null,ARHGAP24,http://diseases.jensenlab.org/Search?query=ARHGAP24,6
149,ARHGDIA,https://www.snpedia.com/index.php/ARHGDIA,Rho GDP dissociation inhibitor (GDI) alpha,ARHGDIA,http://diseases.jensenlab.org/Search?query=ARHGDIA,3
150,ARHGEF9,https://www.snpedia.com/index.php/ARHGEF9,null,ARHGEF9,http://diseases.jensenlab.org/Search?query=ARHGEF9,3
151,ARID1B,https://www.snpedia.com/index.php/ARID1B,null,ARID1B,http://diseases.jensenlab.org/Search?query=ARID1B,75
152,ARID5B,https://www.snpedia.com/index.php/ARID5B,AT rich interactive domain 5B (MRF1-like),ARID5B,http://diseases.jensenlab.org/Search?query=ARID5B,15
153,ARL15,https://www.snpedia.com/index.php/ARL15,ADP-ribosylation factor-like 15,ARL15,http://diseases.jensenlab.org/Search?query=ARL15,9
154,ARMC2,https://www.snpedia.com/index.php/ARMC2,null,ARMC2,http://diseases.jensenlab.org/Search?query=ARMC2,3
155,ARMS2,https://www.snpedia.com/index.php/ARMS2,age-related maculopathy susceptibility 2,ARMS2,http://diseases.jensenlab.org/Search?query=ARMS2,9
156,ARNT2,https://www.snpedia.com/index.php/ARNT2,aryl-hydrocarbon receptor nuclear translocator 2,ARNT2,http://diseases.jensenlab.org/Search?query=ARNT2,3
157,ARNTL,https://www.snpedia.com/index.php/ARNTL,aryl hydrocarbon receptor nuclear translocator-like,ARNTL,http://diseases.jensenlab.org/Search?query=ARNTL,14
158,ARPC1B,https://www.snpedia.com/index.php/ARPC1B,null,ARPC1B,http://diseases.jensenlab.org/Search?query=ARPC1B,0
159,ARSA,https://www.snpedia.com/index.php/ARSA,arylsulfatase A,ARSA,http://diseases.jensenlab.org/Search?query=ARSA,90
160,ARSDP1,https://www.snpedia.com/index.php/ARSDP1,null,ARSDP1,http://diseases.jensenlab.org/Search?query=ARSDP1,5
161,ART4,https://www.snpedia.com/index.php/ART4,ADP-ribosyltransferase 4 (Dombrock blood group),ART4,http://diseases.jensenlab.org/Search?query=ART4,5
162,ARV1,https://www.snpedia.com/index.php/ARV1,null,ARV1,http://diseases.jensenlab.org/Search?query=ARV1,2
163,ARX,https://www.snpedia.com/index.php/ARX,null,ARX,http://diseases.jensenlab.org/Search?query=ARX,49
164,ASAP1,https://www.snpedia.com/index.php/ASAP1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",ASAP1,http://diseases.jensenlab.org/Search?query=ASAP1,4
165,ASB1,https://www.snpedia.com/index.php/ASB1,null,ASB1,http://diseases.jensenlab.org/Search?query=ASB1,1
166,ASB10,https://www.snpedia.com/index.php/ASB10,ankyrin repeat and SOCS box containing 10,ASB10,http://diseases.jensenlab.org/Search?query=ASB10,4
167,ASGR1,https://www.snpedia.com/index.php/ASGR1,asialoglycoprotein receptor 1,ASGR1,http://diseases.jensenlab.org/Search?query=ASGR1,0
168,ASL,https://www.snpedia.com/index.php/ASL,argininosuccinate lyase,ASL,http://diseases.jensenlab.org/Search?query=ASL,56
169,ASPA,https://www.snpedia.com/index.php/ASPA,aspartoacylase,ASPA,http://diseases.jensenlab.org/Search?query=ASPA,35
170,ASPM,https://www.snpedia.com/index.php/ASPM,"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)",ASPM,http://diseases.jensenlab.org/Search?query=ASPM,162
171,ASS1,https://www.snpedia.com/index.php/ASS1,argininosuccinate synthase 1,ASS1,http://diseases.jensenlab.org/Search?query=ASS1,54
172,ASTN2,https://www.snpedia.com/index.php/ASTN2,null,ASTN2,http://diseases.jensenlab.org/Search?query=ASTN2,19
173,ASXL1,https://www.snpedia.com/index.php/ASXL1,additional sex combs like transcriptional regulator 1,ASXL1,http://diseases.jensenlab.org/Search?query=ASXL1,18
174,ATF7IP,https://www.snpedia.com/index.php/ATF7IP,activating transcription factor 7 interacting protein,ATF7IP,http://diseases.jensenlab.org/Search?query=ATF7IP,3
175,ATG16L1,https://www.snpedia.com/index.php/ATG16L1,ATG16 autophagy related 16-like 1 (S. cerevisiae),ATG16L1,http://diseases.jensenlab.org/Search?query=ATG16L1,11
176,ATG4D,https://www.snpedia.com/index.php/ATG4D,"autophagy related 4D, cysteine peptidase",ATG4D,http://diseases.jensenlab.org/Search?query=ATG4D,0
177,ATIC,https://www.snpedia.com/index.php/ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,ATIC,http://diseases.jensenlab.org/Search?query=ATIC,5
178,ATM,https://www.snpedia.com/index.php/ATM,ataxia telangiectasia mutated,ATM,http://diseases.jensenlab.org/Search?query=ATM,621
179,ATP11A,https://www.snpedia.com/index.php/ATP11A,null,ATP11A,http://diseases.jensenlab.org/Search?query=ATP11A,1
180,ATP13A2,https://www.snpedia.com/index.php/ATP13A2,ATPase type 13A2,ATP13A2,http://diseases.jensenlab.org/Search?query=ATP13A2,23
181,ATP1A2,https://www.snpedia.com/index.php/ATP1A2,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",ATP1A2,http://diseases.jensenlab.org/Search?query=ATP1A2,24
